Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
IARM 253A		0.003			0.0003			0.041				0.088	17.9	0.223		69.5875									1.5	0.348	0.0373	0.016		9.17	0.009	0.14							0.0089			0.21	0.5		0.01									0.002		0.106	0.1				
IARM 253B		0.004	0.0052		0.0007			0.051	0.0006		0.001	0.145	17.64	0.44		69.4502								0.0006	1.61	0.59	0.031	0.021		9.11	0.007	0.13	0.0002						0.011	0.0018		0.13	0.46		0.012						0.003			0.0027		0.092	0.05				
IARM 25B		0.006			0.0026			0.0224				0.1431	19.4176	3.245		40.3641									0.3615	2.0635	0.0227	0.5208		33.3054	0.0056	0.0154							0.0013				0.3733		0.005									0.0054		0.0979	0.0214				
IARM 25D	0.0004	0.015	0.004	0.0001	0.0036	  0.00010000	0.0001	0.028	0.009	  0.00500000	0.0001	0.14	20	3.46		38.8297	0.002	0.002		  0.00050000	  0.00020000	  0.00010000	0.001	0.0016	1.14	2.1	0.034	0.66	0.0001	32.6	0.005	0.019	0.004	  0.00010000	0.0001	0.00002	  0.00700000	0.0001	0.0013	0.0008	0.0005	0.0003	0.7	  0.00010000	0.008					  0.00050000	0.002	0.0007	  0.00010000	0.009	  0.00010000	0.089	0.13	  0.00050000	0.0013	0.003	
IARM 26A		0.13			0.007			0.022				0.06	15.07	0.15		54.18689									1.05	1.27	0.0036	0.02		24.94	0.032	0.023							0.001				0.64		0.008						0.0025			2.17		0.17	0.044				
IARM 26B		0.25			0.0046			0.05			0.0002	0.24	14.76	0.038		55.5806									0.19	1.24	0.0064	0.021		25.06	0.0032	0.013							0.002				0.16		0.003									2.03		0.28	0.068				
IARM 26C		0.11			0.0075			0.028				0.054	13.7	0.144		57.3368									0.25	1.09	0.0047	0.002		25.04	0.002	0.017							0.001				0.08		0.011						0.002			1.87		0.24	0.01				
IARM 27B		0.001	0.001		0.0006			0.004	0.001			0.002	0.002	0.002		99.944									0.001	0.002	0.0003	0.002		0.006	0.0081	0.002	0.001						0.001				0.005		0.001									0.001		0.001	0.01			0.001	
IARM 27G		0.0013	0.0016		0.0002		0.002	0.003	0.0002	  0.00300000		0.0009	0.043	0.04		99.6956								0.0002	0.003	0.002	0.0003	0.002		0.045	0.025	0.003	0.003						0.0011	0.01		0.02	0.07		0.001						0.008			0.0009		0.0007	0.002		0.005	0.01	
IARM 28B		0.003	0.008		0.0002			0.18	0.002			0.011	0.13	0.36		98.0794									0.75	0.029	0.0094	0.002		0.13	0.007	0.01	0.01						0.029				0.23		0.014									0.002		0.002	0.001			0.001	
IARM 294A		0.01			0.003			0.017				0.021	19.7	0.34		52.2682									21.6	1.8	0.78	0.03		2.9	0.003	0.026							0.0028				0.43		0.006						0.003			0.002		0.046	0.01			0.002	
IARM 295A		0.01			0.002			0.021				0.021	18	0.113		58.221									19.7	0.97	0.62	0.018		1.84	0.003	0.028							0.0041				0.36		0.004									0.0019		0.046	0.016			0.001	
IARM 29B		0.002	0.011		0.0005			0.2	0.0001			0.008	0.072	0.24		97.7963									1.2	0.014	0.0083	0.002		0.069	0.0028	0.018	0.01						0.086				0.23		0.014									0.002		0.002	0.01			0.002	
IARM 2A					0.0004			0.057				0.078	18.41	0.33		71.2106									0.66	0.19	0.064	0.03		8.21	0.032	0.021	0.002						0.029				0.56		0.006									0.002		0.092	0.016				
