Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
BS 37/C		0.006						1.52				0.025	11.26	0.06		84.3383									0.31	0.78				0.23		0.018							0.0027				0.58													0.8	0.07				
BS 37/D								1.539				0.0703	11.068	0.0627		84.377									0.275	1.09	0.0159			0.2108	0.0031	0.0213							0.0154				0.287		0.0035											0.797	0.164				
BS 37/E		0.002	0.002		0.0003			1.51				0.021	11.54	0.053		84.1911									0.29	0.79	0.052	0.003		0.34	0.0025	0.024	0.0001						0.002	0.001			0.37		0.003									0.002		0.78	0.021				
BS 38/B		0.005						0.5				0.007	0.26	0.05		95.743									0.82	0.31				0.045		0.014							0.011				2.02		0.005											0.2	0.01				
BS 38/C		0.015	0.011					0.6				0.036	0.28	0.26		94.9599									0.81	0.41	0.0081	0.002		0.24		0.011	0.022						0.012				2.08		0.022									0.007		0.21	0.004				
BS 39/B		0.011						0.67				0.02	0.79	0.16		95.85									0.62	0.17				1.45		0.009							0.019				0.21		0.011											0.01					
BS 3932		0.0205	0.0045					0.321	0.0043			0.0108	1.003	0.1982		97.0853									0.543	0.2293	0.007			0.1934	0.0019	0.016							0.0185				0.3268		0.0116											0.0049					
BS 3951		0.002	0.003		0.0006			0.014	0.0005			0.16	18.17	0.22		69.4375									1.56	0.303	0.077	0.085		9.18	0.0074	0.023							0.031				0.61		0.007									0.002		0.067	0.04				
BS 3952		0.004	0.004		0.0005			0.017	0.0014			0.11	18.06	0.38		69.5931									0.82	0.28	0.017	0.005		10.04	0.005	0.029							0.017				0.53		0.017									0.002		0.045	0.023				
BS 3952LAST		0.048						0.208					0.105	0.202		97.9635									0.546	0.519	0.0005			0.112		0.011							0.021				0.264																		
BS 3961		0.022						0.215				0.01	0.51	0.133		96.3101									0.565	0.27	0.0079			1.67		0.016							0.022				0.236		0.008									0.003		0.002					
BS 3972		0.031	0.012		0.0104			0.195				0.01	0.108	0.082		96.4063									1.3	0.032	0.0065	0.001		1.19	0.0038	0.083							0.056				0.106		0.012									0.163		0.191	0.001				
BS 3A		0.0168	0.00673		0.0012			4.193			0.0092	0.0628	0.1103	0.3037		92.28919							0.00123	0.00045	2.204	0.0111		0.018		0.037		0.0367	0.01239						0.0645	0.00271			0.393		0.0039							0.0405		0.0258		0.0954	0.0487		0.0007	0.011	
BS 4		0.005	0.07		0.005		0.0007	2.02	0.0005		0.004	0.026	2.11	0.02		84.1548							0.002	0.001	0.29	1.6		0.019		5.27		0.57	0.005						0.23	0.005			3.44		0.015							0.007		0.037		0.028	0.024		0.002	0.039	
BS 40		0.003						0.73				0.013	0.99	0.036		94.605									2.01	1.14				0.036		0.014							0.015				0.39		0.003											0.015					
BS 40B		0.002	0.004		0.0006			0.71	0.0003			0.02	1.18	0.076		93.9657								0.0001	2.28	1.07	0.0076			0.089	0.0015	0.02	0.0002						0.006				0.35		0.005									0.002		0.1	0.11				
BS 41		0.005						1.41					0.22	0.038		95.922									0.89	0.23				0.15		0.013							0.011				1.02		0.006											0.05	0.035				
BS 4140-A		0.016	0.005				0.105	0.4	0.0003			0.01	0.97	0.15		96.8554									0.84	0.16	0.0098			0.15	0.0025	0.021	0.001						0.076				0.21		0.011									0.003		0.004					
BS 4140-B		0.036	0.002				0.087	0.43	0.0002			0.005	0.84	0.006		97.3754									0.76	0.16	0.0064			0.012	0.002	0.027	0.004						0.037				0.2		0.002									0.003		0.005					
BS 4142SE		0.017	0.016					0.428				0.012	0.84	0.13		97.1713									0.85	0.164	0.0087			0.081	0.002	0.015	0.002						0.031			0.042	0.17		0.015									0.002		0.003					
BS 4150-MOD		0.012	0.005				0.07	0.47	0.001			0.012	1.01	0.19		96.6213									0.9	0.21	0.0087			0.15	0.003	0.024	0.001						0.079				0.21		0.013									0.002		0.008					
BS 47A		0.015						0.13				0.011	4.22	0.11		94.132									0.44	0.47	0.018	0.002		0.12	0.003	0.017							0.015				0.27		0.008									0.003		0.016					
BS 4820		0.02	0.005					0.188	0.0046			0.008	0.12	0.11		95.1665									0.57	0.21	0.0079			3.29	0.0027	0.01	0.0008						0.025				0.25		0.008									0.0015		0.002					
BS 4972		0.002	0.005		0.0002			0.46	0.0013			0.007	0.058	0.22		97.9879								0.0002	0.74	0.012	0.0089	0.002		0.056	0.009	0.015	0.001						0.024	0.004			0.335		0.028									0.0015		0.012	0.01				
BS 4A		0.0152	0.0756		0.005			2.1			0.001	0.0428	2.1771	0.0467		84.15382							0.0003	0.00048	0.32	1.6771		0.0268		5.318		0.3902	0.0333						0.2022	0.0098			3.139		0.0301							0.0697		0.0503		0.038	0.0293		0.0022	0.046	
BS 4C		0.0032	0.007		0.00015		0.0001	3.823	0.00132	  0.00002000	0.01	0.0138	0.1112	0.0138		95.08288					  0.00001000		0.0019	0.00022	0.207	0.1046	0.0083	0.0005		0.0678	0.0036	0.0027	0.00039						0.001	0.00122		0.00005	0.52		0.00042							0.0011		0.0016		0.0005	0.0006		0.00002	0.01	
BS 5		0.056	0.064		0.001		0.005	2.9	0.0005		0.059	0.15	0.22	2.11		88.3335							0.03	0.064	1.5	0.31		0.01		2.99		0.041	0.016						0.018	0.047			0.55		0.19							0.005		0.17		0.069	0.078		0.003	0.01	
BS 50C		0.0025	0.0002		0.00001			0.0012	0.00005			0.0004	0.0017	0.0011		99.92586								0.00001	0.0028	0.0006	0.0019	0.00001		0.0007	0.054	0.001	0.00001						0.0034	0.00002			0.002		0.0002									0.0001		0.00002	0.0001		0.0001	0.00001	
BS 53MOD		0.019	0.004				0.102	1.01	0.001			0.007	1.37	0.07		96.6539									0.36	0.024	0.0086			0.072	0.002	0.011	0.0005						0.012				0.26		0.008											0.005					
BS 56E		0.062	0.0035					0.483	0.0005			0.005	0.021	0.015		98.3833									0.72	0.005	0.0056	0.002		0.015		0.01	0.0001						0.025	0.0004			0.24		0.0006									0.001		0.002					
BS 5A		0.0071	0.0718		0.0015		0.0028	2.686			0.0348	0.1783	0.1754	2.416		88.2652							0.0145	0.1069	1.451	0.2993		0.0278		3.284		0.013	0.0192						0.0047	0.0024			0.6089		0.1496							0.0063		0.0091		0.0664	0.089		0.0015	0.0075	
BS 6		0.02	0.038		0.0005		0.002	3.37	0.0007		0.0075	0.007	0.028	0.51		91.2493							0.006	0.12	0.9	0.55		0.032		1.76		0.01	0.003						0.003	0.002			1.32		0.003							0.002		0.025		0.002	0.01		0.003	0.016	
BS 65A		0.005						0.16					0.051	0.024		98.4513									1.14	0.006	0.008			0.02		0.01							0.101				0.014		0.008											0.0017					
BS 65B								0.165					0.015	0.018		98.5805									1.05	0.002				0.011		0.009							0.117				0.03		0.001									0.0015							
BS 65C		0.002	0.008					0.15				0.007	0.066	0.24		97.8696									1.19	0.012	0.0084			0.063		0.007							0.115				0.24		0.02											0.002					
BS 66B		0.001			0.0003			0.418				0.005	0.093	0.028		97.6871									1.56	0.019	0.0056			0.032		0.018							0.112				0.017		0.0016									0.001		0.0014					
BS 66J		0.001						0.0539				0.0074	0.0061	0.0149		98.6896									0.801	0.0031	0.0076			0.0132		0.0612							0.3329				0.0029		0.001									0.0022		0.002					
BS 66K		0.002	0.006					0.051				0.005	0.006	0.013		98.6426									0.86	0.003	0.0074			0.012		0.062							0.322				0.004		0.001									0.002		0.001					
BS 68B		1.076					0.001	0.389				0.0095	1.506	0.1631		95.54082									0.519	0.3094	0.00728			0.1653		0.0096							0.0198				0.262		0.0097									0.0052		0.0073					
BS 68E		1.09	0.003		0.0002			0.406	0.0003			0.007	1.49	0.134		95.5123								0.0004	0.56	0.322	0.003	0.002		0.147	0.0007	0.005	0.001						0.0004	0.001			0.296		0.0056									0.009		0.0031	0.001				
BS 6A		0.025	0.1165		0.0314		0.0016	3.336			0.0043	0.0136	0.0464	0.502		90.959							0.0017	0.068	0.869	0.5049		0.2721		1.698		0.0137	0.0118						0.0058	0.0939			1.246		0.0153							0.0066		0.1214		0.0068	0.0123		0.001	0.0159	
BS 70A		0.025						0.4					1.04	0.088		96.71									0.92	0.185				0.1		0.012	0.184						0.02				0.28									0.034				0.002					
BS 70B		0.024						0.4					1	0.13		96.655									0.9	0.205				0.25		0.009	0.135						0.022				0.27																		
BS 71A		0.035						0.45					0.99	0.25		96.52									0.88	0.17				0.14		0.022	0.2						0.029				0.3		0.008											0.006					
BS 72A		0.03						0.49					0.95	0.2		96.501									0.94	0.23				0.155		0.013	0.165						0.025				0.29		0.011																
BS 72B		0.02	0.006					0.497				0.012	0.985	0.21		96.5229									0.87	0.187	0.0081	0.001		0.169		0.029	0.174						0.029				0.26		0.014									0.002		0.004					
BS 73A		0.023						0.18					0.46	0.14		97.105									0.88	0.17				0.51		0.009	0.19						0.026				0.3		0.007																
BS 73B		0.022	0.004					0.2	0.002			0.008	0.512	0.141		97.2387									0.83	0.17	0.0113			0.416		0.009	0.139						0.03	0.003			0.25		0.008									0.002		0.002	0.002				
BS 74B		0.002						0.08					0.019	0.006		98.218									0.91	0.008				0.012		0.087	0.34						0.316				0.002																		
BS 74C		0.002	0.004					0.077					0.019	0.005		98.2154									0.94	0.008	0.004	0.005		0.011		0.082	0.328						0.294				0.002		0.002											0.0016					
BS 75D		0.003						0.19					0.013	0.033		98.16									1.19	0.01				0.02		0.012	0.227						0.12				0.015		0.007																
BS 75F		0.002						0.165					0.08	0.03		98.28									1.05	0.018				0.044		0.009	0.202						0.116				0.004																		
BS 7A		0.0139	0.0352		0.0485		0.0008	2.913			0.052	0.0909	0.071	0.0704		91.9293							0.0175	0.013	0.563	0.0331		0.0142		0.4846		0.0696	0.0013						0.0057	0.0019			2.908		0.0068							0.012		0.1825		0.3616	0.0881		0.0011	0.011	
BS 8		0.1329	0.0064		0.0031		0.0006	3.581			0.0016	0.0487	0.0393	0.0129		92.3034							0.0037	0.0566	0.205	0.1024		0.0049		0.8006		0.0342	0.0012						0.005	0.0066			2.357		0.0941							0.0158		0.0422		0.1076	0.029		0.0015	0.0027	
BS 80/D		0.007						0.085				0.41	17.15	0.35		69.991									1.75	0.55				8.65		0.03	0.001						0.35				0.6		0.011									0.005		0.06					
BS 80/E		0.0028						0.0493				0.1562	17.206	0.3603		70.7695									1.682	0.552		0.0125		8.143		0.0303							0.3086				0.576		0.0097											0.0683	0.0735				
BS 81/D	0.001	0.003						0.058				0.12	18.33	0.23		70.201									1.58	0.32	0.043	0.005		8.46		0.023	0.002						0.027				0.53		0.014									0.003		0.05					
BS 81/E		0.001						0.0237				0.1227	18.314	0.1804		68.8791									1.731	0.3796		0.0088		9.517		0.0236							0.0194				0.5211		0.0097											0.1402	0.1287				
BS 81/F								0.062				0.099	18.35	0.316		69.557									1.53	0.41		0.052		8.67		0.025							0.022				0.72		0.007											0.1	0.08				
BS 81G		0.002	0.005		0.0005			0.023	0.001			0.29	18.65	0.54		68.9174									1.69	0.69	0.082	0.041		8.18	0.0061	0.032							0.026	0.002			0.63		0.016									0.002		0.12	0.054				
BS 82/A		0.002						0.071				0.169	22.81	0.18		61.31									1.73	0.15		0.005		13.16		0.019							0.005				0.33		0.01											0.049					
BS 82/B		0.011						0.055				0.073	22.3	0.17		60.262									1.8	0.2				14.17		0.022							0.029				0.85		0.01									0.003		0.045					
BS 82/C		0.0087						0.0788				0.1402	22.074	0.16		62.5579									1.868	0.098		0.007		12.408		0.023							0.0064				0.492		0.0048									0.0017		0.0515	0.02				
BS 83/B		0.014						0.057				0.27	24.4	0.19		52.4257									1.17	0.093				20.6		0.027	0.0013						0.002				0.69		0.006											0.054					
BS 83/C		0.004						0.069				0.26	24.64	0.07		50.92									1.93	0.23		0.03		21.07		0.02							0.017				0.62													0.04	0.08				
BS 83/D		0.004			0.0003			0.056	0.0003			0.16	24.92	0.17		52.7525									1.39	0.23	0.024	0.019		19.55	0.0069	0.026							0.01				0.51		0.006									0.003		0.092	0.07				
BS 83/F								0.055				0.19	24.5	0.074		51.961									1.78	0.2		0.11		20.5		0.023							0.003				0.47		0.006									0.008		0.04	0.08				
BS 84/E		0.01						0.07				0.18	16.68	0.34		67.605									1.76	2.41		0.02		10.25		0.029							0.025				0.51		0.01											0.09	0.011				
BS 84/F		0.01						0.09				0.16	16.5	0.27		67.697									1.7	2.15		0.01		10.45		0.03							0.022				0.52		0.011											0.18	0.2				
BS 84/H		0.004						0.012				0.4	16.86	0.29		64.2088									1.39	2.2		0.025		13.15		0.028							0.0022				0.7											0.6		0.08	0.05				
BS 84J		0.002	0.005		0.0005			0.017	0.001			0.23	17.121	0.46		67.4084									1.46	2.08	0.059	0.024		10.34	0.0063	0.035	0.0008						0.025	0.002			0.57		0.007									0.002		0.09	0.054				
BS 85/B		0.094						0.067				0.23	17.84	0.33		67.965									1.58	0.27				10.02		0.028							0.006				0.73		0.01									0.6		0.11	0.12				
BS 85/C		0.04						0.032				0.23	17.68	0.3		68.6272									1.63	0.33				10.01		0.022							0.0018				0.4		0.007									0.45		0.13	0.11				
BS 85/D		0.13	0.006		0.0006			0.049	0.0004			0.97	17.09	0.45		67.6312									1.69	0.59	0.016	0.065		10.03	0.0014	0.025	0.0004						0.024	0.001			0.55		0.006									0.48		0.134	0.06				
BS 86/D								0.05					18.3	0.3		42.85									1.43	0.14		0.04		35.45		0.018							0.002				1.28											0.14							
BS 86/E					0.0003			0.059	0.0045			0.11	18.46	0.22		42.7181									1.44	0.15	0.032	0.005		35.26	0.0021	0.02							0.001				1.38		0.006									0.008		0.074	0.05				
BS 8620C		0.0244	0.0045		0.0003			0.205	0.0008			0.0059	0.551	0.172		97.214996								0.0003	0.745	0.193	0.0068	0.001		0.591	0.0012	0.0091	0.000004						0.025	0.002			0.235		0.0079									0.0009		0.0016	0.0005			0.0008	
BS 87/D		0.009						0.057				0.28	17.77	0.27		69.1557									1.26	0.35		0.75		9.55		0.028	0.0013						0.019				0.42		0.014									0.011		0.055					
BS 87/E		0.0081						0.0413				0.1567	17.708	0.3792		69.0998									1.277	0.2841		0.646		9.59		0.0291	0.001						0.0014				0.673		0.0101									0.001		0.0594	0.0348				
BS 87F		0.004	0.005		0.0006			0.055	0.0007			0.17	17.3	0.28		68.6146									1.64	0.29	0.037	0.57		10.12	0.005	0.024	0.0003						0.025	0.0008			0.67		0.004									0.004		0.13	0.05				
BS 88/D		0.015						0.057				0.078	15.94	3.24		74.499									0.59	0.15		0.2		4.71		0.016							0.011				0.45		0.009									0.006		0.029					
BS 88/E		0.01						0.05				0.06	15.12	3.12		75.631									0.32	0.47		0.28		4.28		0.024	0.001						0.019				0.32		0.004									0.001		0.29					
BS 88G		0.002			0.0005			0.047	0.0008			0.059	15.67	3.95		74.3597									0.43	0.18	0.032	0.3		4.28		0.028							0.023				0.54		0.007									0.001		0.06	0.03				
BS 89/D		0.006						0.125				0.037	11.7	0.052		86.5574									0.59	0.06				0.49		0.015	0.0006						0.01				0.31		0.005											0.042					
BS 89/E		0.005						0.127				0.02	12.48	0.16		85.844									0.44	0.032	0.033	0.012		0.37	0.005	0.015							0.006				0.36		0.004									0.002		0.075	0.01				
BS 90/E		0.01						0.082				0.09	13.28	0.1		84.123									0.41	0.2				0.42		0.027							0.33				0.84		0.011											0.077					
BS 91/D		0.006						0.035				0.02	16.7	0.07		81.982									0.51	0.07				0.22		0.015							0.015				0.32		0.007											0.03					
BS 91/E		0.002						0.066	0.0008			0.02	16.58	0.05		81.9706									0.42	0.035	0.032	0.004		0.17	0.0046	0.017							0.002				0.52		0.004									0.002		0.09	0.01				
BS 92/B		0.002			0.0002			0.15	0.0009			0.04	15.92	0.13		80.4195									0.42	0.17	0.073	0.006		2.12	0.0064	0.021							0.003				0.42		0.006									0.002		0.07	0.02				
BS 93/D		0.008						1.02				0.034	16.8	0.09		79.9589									0.53	0.48		0.003		0.44		0.022	0.0001						0.016				0.5		0.008											0.09					
BS 93/E		0.005						1.02				0.05	17.37	0.11		78.803									0.52	0.5		0.004		0.35		0.022							0.002				0.89		0.004											0.24	0.11				
BS 9325		0.03	0.004					0.25	0.0049			0.01	1.48	0.13		93.22									0.91	0.31	0.0089			3.29	0.001	0.008	0.0002						0.007				0.32		0.009									0.003		0.004					
BS 94/A		0.04						0.088				0.045	25.19	0.07		72.066									1.22	0.083		0.001		0.31		0.018							0.004				0.8		0.013											0.052					
BS 94/B		0.002						0.105				0.04	25.45	0.051		72.482									0.46	0.22		0.035		0.23		0.022							0.01				0.55		0.003											0.23	0.11				
BS 94/C		0.004			0.0005			0.057	0.0008			0.042	25.9	0.056		71.9522									0.45	0.2	0.065	0.032		0.43	0.0061	0.024							0.002				0.62		0.006									0.0024		0.12	0.03				
BS 9-4-30		0.004	0.004					0.316				4.46	1	0.088		85.475									0.22	1.01	0.0014	0.007		7.25	0.0011	0.008							0.0005				0.06		0.003									0.002		0.09					
BS 95		0.006						0.032				0.11	15.02	1.48		74.558									0.29	0.81		0.63		6.5		0.021							0.001				0.39		0.004									0.006		0.082	0.06				
BS 96		0.086						0.0025				0.03	11.65	2.02		76.0215									0.052	0.059	0.005	0.25		8.5		0.008							0.002				0.04		0.004									1.2		0.07					
BS A485-1		0.017	0.006					0.98				0.01	1.07	0.16		95.831									1.1	0.029	0.006			0.13	0.0008	0.019	0.0002						0.004				0.62		0.011									0.003		0.003					
BS BS191		0.002	0.005		0.0006			0.098	0.0006			0.11	16.33	0.33		67.6578									5.71	0.36	0.117	0.024		5.34	0.002	0.024							0.023				3.73		0.006						0.002			0.012		0.083	0.033				
BS CA-1		0.035	0.004					0.308	0.0006			0.0045	0.046	0.029		97.1807									1.46	0.011		0.039		0.104		0.012	0.0009						0.009				0.66		0.005									0.0021		0.088				0.0012	
BS CA-1A		0.024	0.006		0.001			0.283	0.0021			0.005	0.037	0.044		97.0963									1.5	0.03	0.0136	0.017		0.273		0.018							0.026				0.54		0.007									0.005		0.072					
BS CA-2		0.029	0.012					0.419	0.0077			0.0045	0.171	0.03		96.8303									1.27	0.072		0.075		0.68		0.01	0.0007						0.009				0.335		0.011									0.0014		0.031				0.0014	
BS CA-2A		0.0873	0.0324		0.00182			0.3417	0.00307			0.004	0.033	0.0208		97.42851									1.194	0.0066	0.0151	0.0331		0.3032		0.0119							0.014				0.313		0.0576									0.0038		0.0951					
BS CA-3		0.102	0.028					0.31	0.0025			0.0032	0.047	0.021		97.2488									1.34	0.007		0.029		0.26		0.011	0.0009						0.009				0.46		0.048									0.0044		0.067				0.0012	
BS CA304-1		0.003	0.003		0.0006			0.045	0.0045			0.2	18.3	0.34		70.0988									1.06	0.34	0.083	0.026		8.57	0.0041	0.026							0.016	0.002			0.71		0.01									0.028		0.09	0.04				
BS CA304-3		0.003	0.005		0.0008			0.038	0.0047			0.22	18.39	0.42		69.9101									0.97	0.41	0.094	0.02		8.59	0.0049	0.027							0.024	0.0015			0.7		0.01									0.024		0.07	0.06			0.003	
BS CA304-4		0.017	0.0063		0.0031			0.096	0.0075			0.007	18.26	0.143		70.76346								0.00024	0.783	0.0041	0.061	0.063		8.77	0.013	0.0205	0.0008						0.007	0.0002			0.887		0.0024						0.002			0.0046		0.0686	0.0056			0.0036	
BS CA316-4		0.008	0.01		0.0004			0.018	0.0056			0.24	17.6	0.42		66.495									1.43	2.03	0.045	0.012		11	0.009	0.028							0.027				0.46		0.012									0.036		0.054	0.06				
BS CA-3A		0.036	0.014		0.0017			0.351	0.001			0.004	0.044	0.025		97.21									1.46	0.009	0.0133	0.044		0.27		0.022							0.008				0.331		0.047									0.004		0.105					
BS CA-4		0.019	0.051					0.22	0.0018			0.0038	0.067	0.016		97.5909									1.32	0.038		0.002		0.17		0.012	0.0006						0.009				0.44		0.023									0.0037		0.011				0.0012	
BS CA-4A		0.011	0.029		0.0013			0.252	0.0001			0.006	0.068	0.032		97.9395									1.12	0.046	0.0101	0.068		0.017		0.034							0.006				0.31		0.034									0.002		0.014					
BS CA-5		0.0482						0.36	0.0136				0.12	0.029		96.2502									0.99	0.097		0.065		1.42		0.009							0.009				0.51		0.03											0.049					
BS CA-5A		0.056	0.026		0.0007			0.41	0.0041			0.006	0.128	0.054		97.2662									0.92	0.1	0.011	0.04		0.59		0.003							0.005				0.3		0.037									0.001		0.042					
BS CC12		0.025	0.002		0.0004		0.0002	3.01	0.0023		0.04	0.018	0.049	0.095		93.0914							0.004	0.11	0.17	0.006		0.005		0.72		0.074	0.0002						0.006	0.001			2.54		0.004							0.002		0.01		0.012	0.0015			0.001	
BS CC17		0.004	0.009		0.0005		0.01	2.32	0.0001		0.002	0.02	0.93	0.11		87.98115							0.0001	0.0004	0.39	1.81		0.006		2.06		0.2	0.0002						0.17	0.002			3.93		0.004							0.005		0.019		0.012	0.004		0.00005	0.0005	
BS CC22		0.006	0.091		0.043			2.87			0.001	0.01	0.98	0.34		91.9595							0.001	0.0005	1.84	0.022	0.015	0.013		0.151		0.274	0.001						0.16	0.059			0.74		0.079							0.034		0.022		0.25	0.012			0.026	
BS CC24		0.159	0.16		0.0005		0.01	4.48			0.0025	0.009	0.23	0.076		91.2706							0.0004	0.013	0.215	1.61	0.0045	0.0025		0.26		0.016	0.004						0.018	0.29			0.23		0.11							0.023		0.19		0.42	0.15			0.046	
BS CC26		0.009	0.017		0.0045		0.001	3.38			0.065	0.043	0.016	0.76		93.3945							0.045	0.045	0.115	0.42	0.008	0.0015		1.02		0.005	0.001						0.002	0.003			0.63		0.002							0.004		0.001		0.0015	0.005			0.001	
BS CC8		0.033	0.04		0.026		0.002	2.89	0.0002		0.001	0.079	0.25	0.91		91.85023							0.00007	0.0005	0.44	0.097		0.006		0.2		0.039	0.014						0.064	0.19			2.37		0.079							0.015		0.11		0.244	0.045			0.005	
BS CSN2D		0.05	0.0044					0.467	0.003			0.006	0.07	0.068		98.3856									0.62	0.01	0.0173			0.067		0.012							0.031				0.174		0.0045									0.0012		0.005	0.004				
BS H-13		0.0152	0.0066		0.0002			0.402	0.0003			0.0092	5.14	0.197		90.4607								0.0002	0.386	1.24	0.0108	0.0004		0.109	0.0018	0.0103	0.0003						0.0202	0.002			0.99		0.0093						0.003			0.0019		0.98	0.0022			0.0014	
BS HICAL1		0.07	0.0022		0.0001			0.271	0.014			0.0024	1.55	0.152		91.9705								0.0003	1	0.379		0.002		3.28		0.007	0.0005						0.0007				1.29		0.0002									0.0037		0.0027	0.0009			0.0008	
BS LC1		0.058						0.0036					0.001	0.002		99.4441									0.45					0.001		0.011							0.0013				0.026											0.002							
BS LC1R		0.033						0.0013					0.001	0.002		99.4904									0.43					0.002		0.012							0.0013				0.025											0.002							
BS LC2		0.038						0.004					0.001	0.002		99.4616									0.45					0.002		0.012							0.0024				0.025											0.002							
BS LC3		0.044						0.0054					0.002	0.001		99.4513									0.45					0.002		0.012							0.0046				0.024											0.0037							
BS LC4		0.035						0.0077					0.002	0.001		99.4468									0.46					0.002		0.012							0.007				0.024											0.0025							
BS LC5		0.031						0.0108					0.002	0.001		99.4495									0.46					0.001		0.012							0.0087				0.022											0.002							
BS LC6		0.036						0.002					0.002	0.001		99.4288									0.47					0.006		0.0007							0.0008				0.051											0.0017							
BS M-50		0.073	0.0035		0.0001			0.834	0.001			0.0151	4.28	0.064		88.89469								0.0002	0.244	4.29	0.0057	0.0008		0.074	0.001	0.0066	0.0001						0.0045	0.0006			0.205		0.0045						0.00001			0.0018		0.99	0.0052			0.0006	
BS PP20		0.0132	0.0049		0.00011			0.382	0.0003			0.0145	1.94	0.119		94.52249									1.41	0.212	0.008	0.0048		1	0.001	0.018							0.007	0.0013			0.262		0.0069									0.0007		0.066	0.0058				
BS SS3952		0.004	0.004		0.0005			0.017	0.0014			0.11	18.06	0.38		69.5931									0.82	0.28	0.017	0.005		10.04	0.005	0.029							0.017				0.53		0.017									0.002		0.045	0.023				
BS TS15		0.0032	0.006		0.0005			1.64	0.001			4.87	4.12	0.065		71.42725								0.002	0.27	0.48	0.045	0.009		0.18	0.018	0.017							0.067				0.357		0.0074							0.00005		0.0016		4.81	11.6			0.003	
BS XCCS		0.069	0.002					0.042				0.003	0.014	0.018		99.461									0.32	0.005	0.0047	0.002		0.017	0.0027	0.003	0.001						0.014	0.0006			0.01		0.006									0.001		0.002				0.002	
BS XCCT		0.006	0.004					0.158				0.017	0.65	0.027		96.98									0.52	0.02	0.0076	0.001		1.27	0.005	0.005	0.001						0.011	0.0004			0.28		0.002									0.002		0.031				0.002	
BS XCCV		0.033	0.002					0.44				0.006	0.041	0.015		97.3537									1.75	0.007	0.0056	0.002		0.018	0.0018	0.012	0.0006						0.024	0.0003			0.28		0.001									0.002		0.003				0.002	
CARTECH 303-SE								0.048				0.16	17.84	0.15		70.279									0.76	0.39				8.89		0.14							0.013			0.3	0.61														0.42				
CARTECH 416	0.0002							0.088				0.019	13.15	0.084		84.7748									0.52	0.065	0.02			0.24		0.018	0.001						0.36				0.63		0.005											0.025					
CARTECH ISO035A		0.004						0.102				0.03	18.48	0.17		66.078									12.04	0.28	0.33	0.004		1.81		0.023							0.002				0.59		0.003									0.001		0.05	0.002			0.001	
CARTECH ISO123A		0.027			0.002			0.003				0.016	11.67	0.01		74.5785									0.035	0.92	0.003	0.001		11.1		0.007							0.0005				0.031											1.58		0.014				0.002	
CENIM 320								1.63				0.03	10.9	0.07		85.266									0.34	0.72				0.14		0.018							0.007				0.24		0.008									0.001		0.4	0.23				
CENIM 322								1.85				0.02	10.6	0.09		85.374									0.36	0.81		0.01		0.28		0.026							0.009				0.38		0.008									0.002		0.15	0.031				
CKD 101A		0.012						0.18					0.1	0.14		98.307									0.9	0.01				0.04		0.02							0.011				0.25											0.01		0.02					
CKD 101B		0.01						0.18					0.15	0.18		98									1.12	0.01				0.09		0.02							0.01				0.2											0.01		0.02					
CKD 101E		0.05	0.019					0.18					0.13	0.19		97.571									1.2	0.04	0.011			0.26		0.016							0.02				0.29		0.023																
CKD 102A		0.01						0.29					0.73	0.59		94.48									0.52	0.02				3.16		0.01							0.01				0.15											0.01		0.02					
CKD 102B		0.02						0.3					0.74	0.59		94.44									0.52	0.02				3.17		0.01							0.01				0.15											0.01		0.02					
CKD 102D		0.05	0.01					0.34					0.82	0.08		94.431									0.56	0.08	0.008			3.3		0.012							0.015				0.28		0.009											0.005					
CKD 152A		0.26	0.007					0.13					1.55	0.44		92.347									1.06	0.74	0.01			2		0.026							0.03				0.72		0.02									0.43		0.23					
CKD 152B		0.3	0.012					0.13				0.025	1.56	0.45		92.175									1.07	0.79	0.006			1.99		0.027							0.025				0.72		0.01									0.43		0.23	0.05				
CKD 152C		0.3	0.013					0.14				0.025	1.56	0.5		92.149									1.05	0.77				1.98		0.027							0.025				0.73		0.011									0.44		0.23	0.05				
CKD 153A		0.15						0.83					0.26	0.2		96.407									1.3	0.08	0.011			0.29		0.032							0.03				0.38											0.01		0.02					
CKD 153B		0.2	0.015					0.81				0.015	0.25	0.2		96.343									1.36	0.07	0.011			0.29		0.033											0.38		0.018											0.005					
CKD 154A		0.05						0.25					2.52	0.19		93.788									1.32	0.14	0.01			0.12		0.052							0.03				0.9											0.01		0.62					
CKD 154B		0.05	0.015					0.26					2.58	0.21		93.484									1.36	0.14	0.009			0.11		0.055											0.93		0.027											0.62	0.15				
CKD 155A		0.005						0.01					0.01	0.09		99.691									0.075	0.01	0.003			0.03		0.012							0.02				0.014											0.01		0.02					
CKD 155B								0.01					0.01	0.09		99.725									0.075		0.002			0.03		0.012							0.02				0.026																		
CKD 155C		0.05	0.005					0.03				0.005	0.04	0.07		99.536									0.2	0.01	0.003			0.03		0.008							0.01						0.003																
