Elem_name	ion.state	Wl	Ei	Ek	Ak	gi	gk	lineLeft	lineRight	bgrLeft	bgrRight	coment
Ag	II	224.68	10.18799633	15.7062457	710000000	7	9					
Ag	II	224.711	4.85621528	10.37371438	391000000	7	9					
Ag	II	224.945	5.05178168	10.56354748	257000000	5	5					
Ag	II	225.406	10.77275131	16.2732362	560000000	5	7					
Ag	II	225.804	5.70935604	11.20009665	220000000	5	3					
Ag	II	226.649	11.20009665	16.6704132	190000000	3	1					
Ag	II	227.588	10.37371438	15.8214594	216000000	9	9					
Ag	II	227.801	10.36824241	15.81089683	150000000	3	5					
Ag	II	228.069	5.70935604	11.14562618	325000000	5	3					
Ag	II	229.666	10.37371438	15.77216857	60000000	9	7					
Ag	II	231.303	10.18799633	15.54822375	1000000	7	5					
Ag	II	231.775	5.42340791	10.77275131	168000000	3	5					
Ag	II	231.778	10.36824241	15.71751387	250000000	3	3					
Ag	II	232.096	5.70935604	11.05129731	290000000	5	7					
Ag	II	232.215	11.05129731	16.3905061	180000000	7	7					
Ag	II	232.445	11.05129731	16.38520785	20000000	7	5					
Ag	II	232.505	10.37371438	15.7062457	35000000	9	9					
Ag	II	232.538	4.85621528	10.18799633	84000000	7	7					
Ag	II	232.566	10.37371438	15.7048539	710000000	9	11					
Ag	II	233.208	5.05178168	10.36824241	251000000	5	3					
Ag	II	235.864	5.42340791	10.68000943	296000000	3	1					
Ag	II	235.947	11.05129731	16.3060396	670000000	7	9					
Ag	II	236.28	10.56354748	15.81089683	263000000	5	5					
Ag	II	236.461	10.56354748	15.80688117	370000000	5	7					
Ag	II	236.63	11.14562618	16.38520785	300000000	3	5					
Ag	II	237.429	11.05129731	16.2732362	37000000	7	7					
Ag	II	238.383	10.36824241	15.5692977	80000000	3	3					
Ag	II	239.116	11.20009665	16.38520785	68000000	3	5					
Ag	II	239.353	10.36824241	15.54822375	25000000	3	5					
Ag	II	240.318	11.14562618	16.30480387	360000000	3	3					
Ag	II	240.561	10.56354748	15.71751387	110000000	5	3					
Ag	II	240.959	10.36824241	15.51369761	17000000	3	3					
Ag	II	241.208	5.42340791	10.56354748	96000000	3	5					
Ag	II	241.223	11.20009665	16.33991721	250000000	3	5					
Ag	II	241.392	5.05178168	10.18799633	210000000	5	7					
Ag	II	242.069	11.26865627	16.3905061	460000000	5	7					
Ag	II	242.32	11.26865627	16.38520785	52000000	5	5					
Ag	II	243.025	10.71975452	15.8214594	400000000	7	9					
Ag	II	243.852	4.85621528	9.94061414	290000000	7	5					
Ag	II	244.484	11.26865627	16.33991721	270000000	5	5					
Ag	II	244.695	11.14562618	16.21250816	35000000	3	3					
Ag	II	244.864	5.70935604	10.77275131	92000000	5	5					
Ag	II	245.396	10.71975452	15.77216857	370000000	7	7					
Ag	II	246.091	10.77275131	15.81089683	118000000	5	5					
Ag	II	246.189	11.26865627	16.30480387	34000000	5	3					
Ag	II	246.287	10.77275131	15.80688117	80000000	5	7					
Ag	II	247.354	11.20009665	16.21250816	230000000	3	3					
Ag	II	247.454	5.70935604	10.71975452	49800000	5	7					
Ag	II	247.736	11.26865627	16.2732362	22000000	5	7					
Ag	II	247.788	9.94061414	14.9442625	140000000	5	7					
Ag	II	247.997	10.77275131	15.77216857	3000000	5	7					
Ag	II	248.103	10.71975452	15.71703894	160000000	7	5					
Ag	II	248.64	10.71975452	15.7062457	28000000	7	9					
Ag	II	248.731	10.56354748	15.54822375	16000000	5	5					
Ag	II	250.466	10.56354748	15.51369761	92000000	5	3					
Ag	II	250.735	5.42340791	10.36824241	21300000	3	3					
Ag	II	250.738	10.77275131	15.71751387	46000000	5	3					
Ag	II	250.785	11.26865627	16.21250816	90000000	5	3					
Ag	II	253.607	5.05178168	9.94061414	3400000	5	5					
Ag	II	256.5	10.68000943	15.51369761	62000000	1	3					
Ag	II	256.777	10.71975452	15.54822375	25000000	7	5					
Ag	II	258.135	10.18799633	14.99107881	180000000	7	5					
Ag	II	258.801	11.14562618	15.9363254	2000000	3	1					
Ag	II	259.627	10.77275131	15.54822375	28000000	5	5					
Ag	II	259.914	11.05129731	15.8214594	8000000	7	9					
Ag	II	260.675	10.18799633	14.9442625	30000000	7	7					
Ag	II	261.518	10.77275131	15.51369761	136000000	5	3					
Ag	II	261.778	11.20009665	15.9363254	69000000	3	1					
Ag	II	262.63	11.05129731	15.77216857	30000000	7	7					
Ag	II	265.733	11.05129731	15.71703894	13000000	7	5					
Ag	II	265.76	11.14562618	15.81089683	29000000	3	5					
Ag	II	266.124	5.70935604	10.36824241	15100000	5	3					
Ag	II	268.199	10.36824241	14.99107881	60000000	3	5					
Ag	II	268.9	11.20009665	15.81089683	14000000	3	5					
Ag	II	271.188	11.14562618	15.71751387	48000000	3	3					
Ag	II	271.268	10.37371438	14.9442625	200000000	9	7					
Ag	II	272.954	11.26865627	15.81089683	1000000	5	5					
Ag	II	274.458	11.20009665	15.71751387	100000000	3	3					
Ag	II	274.471	5.42340791	9.94061414	1100000	3	5					
Ag	II	275.3	11.26865627	15.77216857	1000000	5	7					
Ag	II	275.709	11.05129731	15.54822375	200000000	7	5					
Ag	II	276.834	5.70935604	10.18799633	10100000	5	7					
Ag	II	280.03	10.56354748	14.99107881	100000000	5	5					
Ag	II	281.616	11.14562618	15.54822375	71000000	3	5					
Ag	II	283.84	11.14562618	15.51369761	4000000	3	3					
Ag	II	287.426	11.20009665	15.51369761	106000000	3	3					
Ag	II	289.712	11.26865627	15.54822375	84000000	5	5					
Ag	II	290.271	10.71975452	14.99107881	43000000	7	5					
Ag	II	292.068	11.26865627	15.51369761	60000000	5	3					
Ag	II	293.02	5.70935604	9.94061414	2900000	5	5					
Ag	II	293.488	10.71975452	14.9442625	72000000	7	7					
Ag	II	293.918	10.77275131	14.99107881	30000000	5	5					
Ag	II	318.163	10.18799633	14.08486982	4300000	7	9					
Ag	II	318.483	11.05129731	14.9442625	4000000	7	7					
Ag	II	322.418	11.14562618	14.99107881	6900000	3	5					
Ag	II	327.049	11.20009665	14.99107881	20000000	3	5					
Ag	I	328.163	0	3.77812896	140000000	2	4					
Ag	II	337.316	11.26865627	14.9442625	1000000	5	7					
Ag	I	338.386	0	3.66398815	130000000	2	2					
Ag	II	408.707	11.05129731	14.08486982	1120000	7	9					
Ag	II	431.472	16.9261858	19.79968	14000000	5	3					
